"Level.4","CellId","ImageId"
"Cytotoxic",465,"image_1"
"Cytotoxic",466,"image_1"
"Reg",467,"image_1"
"Cytotoxic",468,"image_1"
"Cytotoxic",469,"image_1"
"Reg",470,"image_1"
"Cytotoxic",471,"image_1"
"Cytotoxic",472,"image_1"
"Cytotoxic",473,"image_1"
"Cytotoxic",474,"image_1"
"Cytotoxic",475,"image_1"
"Cytotoxic",476,"image_1"
"Cytotoxic",477,"image_1"
"Cytotoxic",478,"image_1"
"Cytotoxic",479,"image_1"
"other",480,"image_1"
"Cytotoxic",481,"image_1"
"Cytotoxic",482,"image_1"
"Cytotoxic",483,"image_1"
"Cytotoxic",484,"image_1"
"Cytotoxic",485,"image_1"
"Cytotoxic",486,"image_1"
"Cytotoxic",487,"image_1"
"Cytotoxic",488,"image_1"
"Cytotoxic",489,"image_1"
"Cytotoxic",490,"image_1"
"Cytotoxic",491,"image_1"
"Cytotoxic",492,"image_1"
"Cytotoxic",493,"image_1"
"Cytotoxic",494,"image_1"
"Cytotoxic",495,"image_1"
"Cytotoxic",496,"image_1"
"Cytotoxic",497,"image_1"
"Cytotoxic",498,"image_1"
"Cytotoxic",499,"image_1"
"Cytotoxic",500,"image_1"
"Cytotoxic",501,"image_1"
"Cytotoxic",502,"image_1"
"Cytotoxic",503,"image_1"
"Cytotoxic",504,"image_1"
"Cytotoxic",505,"image_1"
"Cytotoxic",506,"image_1"
"Cytotoxic",507,"image_1"
"Cytotoxic",508,"image_1"
"Cytotoxic",509,"image_1"
"Cytotoxic",510,"image_1"
"Cytotoxic",511,"image_1"
"Cytotoxic",512,"image_1"
"Cytotoxic",513,"image_1"
"Cytotoxic",514,"image_1"
"Cytotoxic",515,"image_1"
"Cytotoxic",516,"image_1"
"Cytotoxic",517,"image_1"
"Cytotoxic",518,"image_1"
"Cytotoxic",519,"image_1"
"Reg",520,"image_1"
"Cytotoxic",521,"image_1"
"other",522,"image_1"
"Reg",523,"image_1"
"Cytotoxic",524,"image_1"
"Cytotoxic",525,"image_1"
"Reg",526,"image_1"
"Cytotoxic",527,"image_1"
"Cytotoxic",528,"image_1"
"Cytotoxic",529,"image_1"
"Cytotoxic",530,"image_1"
"Cytotoxic",531,"image_1"
"Cytotoxic",532,"image_1"
"Reg",533,"image_1"
"other",534,"image_1"
"Cytotoxic",535,"image_1"
"Cytotoxic",536,"image_1"
"other",537,"image_1"
"Reg",538,"image_1"
"other",539,"image_1"
"Cytotoxic",540,"image_1"
"Cytotoxic",541,"image_1"
"Cytotoxic",542,"image_1"
"Cytotoxic",543,"image_1"
"Cytotoxic",544,"image_1"
"Cytotoxic",545,"image_1"
"Reg",546,"image_1"
"Cytotoxic",547,"image_1"
"Cytotoxic",548,"image_1"
"Cytotoxic",549,"image_1"
"Reg",550,"image_1"
"Reg",551,"image_1"
"Cytotoxic",552,"image_1"
"other",553,"image_1"
"Cytotoxic",554,"image_1"
"other",555,"image_1"
"Cytotoxic",556,"image_1"
"Tumor Cells",557,"image_1"
"Reg",558,"image_1"
"other",559,"image_1"
"Cytotoxic",560,"image_1"
"Cytotoxic",561,"image_1"
"Cytotoxic",562,"image_1"
"Cytotoxic",563,"image_1"
"Cytotoxic",564,"image_1"
"Cytotoxic",565,"image_1"
"Cytotoxic",566,"image_1"
"Cytotoxic",567,"image_1"
"Cytotoxic",568,"image_1"
"Reg",569,"image_1"
"Cytotoxic",570,"image_1"
"Cytotoxic",571,"image_1"
"Cytotoxic",572,"image_1"
"Cytotoxic",573,"image_1"
"Cytotoxic",574,"image_1"
"Reg",575,"image_1"
"Tumor Cells",576,"image_1"
"Cytotoxic",577,"image_1"
"Cytotoxic",578,"image_1"
"Cytotoxic",579,"image_1"
"Cytotoxic",580,"image_1"
"Cytotoxic",581,"image_1"
"Cytotoxic",582,"image_1"
"Cytotoxic",583,"image_1"
"Cytotoxic",584,"image_1"
"Cytotoxic",585,"image_1"
"Cytotoxic",586,"image_1"
"Cytotoxic",587,"image_1"
"Cytotoxic",588,"image_1"
"Cytotoxic",589,"image_1"
"Cytotoxic",590,"image_1"
"Cytotoxic",591,"image_1"
"other",592,"image_1"
"Cytotoxic",593,"image_1"
"Cytotoxic",594,"image_1"
"Cytotoxic",595,"image_1"
"Cytotoxic",596,"image_1"
"Cytotoxic",597,"image_1"
"Cytotoxic",598,"image_1"
"Cytotoxic",599,"image_1"
"Cytotoxic",600,"image_1"
"Cytotoxic",601,"image_1"
"Cytotoxic",602,"image_1"
"Cytotoxic",603,"image_1"
"Cytotoxic",604,"image_1"
"Cytotoxic",605,"image_1"
"Cytotoxic",606,"image_1"
"Cytotoxic",607,"image_1"
"Cytotoxic",608,"image_1"
"Cytotoxic",609,"image_1"
"other",610,"image_1"
"Cytotoxic",611,"image_1"
"Cytotoxic",612,"image_1"
"Cytotoxic",613,"image_1"
"Cytotoxic",614,"image_1"
"Cytotoxic",615,"image_1"
"Cytotoxic",616,"image_1"
"Cytotoxic",617,"image_1"
"Cytotoxic",618,"image_1"
"other",619,"image_1"
"Cytotoxic",620,"image_1"
"Cytotoxic",621,"image_1"
"Cytotoxic",622,"image_1"
"Cytotoxic",623,"image_1"
"Cytotoxic",624,"image_1"
"other",625,"image_1"
"Cytotoxic",626,"image_1"
"other",627,"image_1"
"Reg",628,"image_1"
"Cytotoxic",629,"image_1"
"other",630,"image_1"
"Cytotoxic",631,"image_1"
"Cytotoxic",632,"image_1"
"Cytotoxic",633,"image_1"
"Reg",634,"image_1"
"Cytotoxic",635,"image_1"
"other",636,"image_1"
"Reg",637,"image_1"
"Reg",638,"image_1"
"Cytotoxic",639,"image_1"
"other",640,"image_1"
"Cytotoxic",641,"image_1"
"Cytotoxic",642,"image_1"
"Cytotoxic",643,"image_1"
"Cytotoxic",644,"image_1"
"Cytotoxic",645,"image_1"
"other",646,"image_1"
"Cytotoxic",647,"image_1"
"other",648,"image_1"
"Reg",649,"image_1"
"Cytotoxic",650,"image_1"
"other",651,"image_1"
"Cytotoxic",652,"image_1"
"Cytotoxic",653,"image_1"
"Cytotoxic",654,"image_1"
"Cytotoxic",655,"image_1"
"Cytotoxic",656,"image_1"
"Cytotoxic",657,"image_1"
"Cytotoxic",658,"image_1"
"Reg",659,"image_1"
"Cytotoxic",660,"image_1"
"Cytotoxic",661,"image_1"
"Cytotoxic",662,"image_1"
"Cytotoxic",663,"image_1"
"Cytotoxic",664,"image_1"
"Cytotoxic",665,"image_1"
"Cytotoxic",666,"image_1"
"Cytotoxic",667,"image_1"
"Reg",668,"image_1"
"Cytotoxic",669,"image_1"
"Cytotoxic",670,"image_1"
"Cytotoxic",671,"image_1"
"Cytotoxic",672,"image_1"
